,0,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Cape Town,0,ZA,1553469491,88,-33.93,18.42,66.99,16.11
1,Yanam,0,IN,1553469586,88,16.73,82.22,75.54,2.15
2,Severo-Kurilsk,48,RU,1553469460,100,50.68,156.12,27.48,15.57
3,Itarema,80,BR,1553469531,95,-2.92,-39.92,76.62,2.93
4,Gambiran,24,ID,1553469586,95,-7.93,111.77,72.21,2.37
5,Aloleng,0,PH,1553469586,86,16.13,119.78,79.32,13.78
6,Albany,1,US,1553469453,39,42.65,-73.75,53.6,16.11
7,Jamestown,76,AU,1553469587,72,-33.21,138.6,58.71,16.35
8,Kiruna,0,SE,1553467800,92,67.86,20.23,21.2,2.24
9,Merauke,36,ID,1553469388,90,-8.49,140.4,81.48,7.4
10,Atar,0,MR,1553469273,44,20.52,-13.05,58.53,2.71
11,Melita,12,CA,1553469587,79,49.27,-100.98,28.99,5.99
12,Kruisfontein,80,ZA,1553469535,91,-34.0,24.73,66.0,12.44
13,Kinsale,40,IE,1553466600,87,51.71,-8.52,42.8,10.29
14,Hamilton,90,CA,1553469280,74,43.26,-79.87,48.99,11.41
15,Dvinskoy,92,RU,1553469588,96,62.16,45.12,31.71,4.38
16,Tagusao,0,PH,1553469588,87,9.19,117.81,79.59,5.95
17,Ushuaia,75,AR,1553464800,40,-54.81,-68.31,53.6,11.41
18,Baruun-Urt,0,MN,1553469589,63,46.68,113.28,20.91,4.72
19,Faya,0,SA,1553464800,67,18.39,42.45,64.4,6.93
20,Qaqortoq,48,GL,1553467800,55,60.72,-46.03,33.8,35.57
21,Mataura,80,NZ,1553469005,86,-46.19,168.86,66.99,3.0
22,Havoysund,75,NO,1553467800,54,71.0,24.66,28.4,33.33
23,Rikitea,20,PF,1553469450,97,-23.12,-134.97,79.77,13.67
24,Victoria,90,BN,1553466600,88,5.28,115.24,80.6,2.24
25,Havre-Saint-Pierre,20,CA,1553468400,28,50.23,-63.6,17.6,17.22
26,Hobart,20,AU,1553469554,53,-42.88,147.33,59.0,25.28
27,Weihai,0,CN,1553469379,49,37.5,122.11,61.0,1.01
28,North Bend,1,US,1553469386,66,43.41,-124.22,64.99,9.17
29,Atuona,44,PF,1553469591,100,-9.8,-139.03,82.38,16.46
30,Punta Arenas,68,CL,1553469195,57,-53.16,-70.91,51.8,21.92
31,Port Alfred,24,ZA,1553469410,95,-33.59,26.89,71.01,5.99
32,Bubaque,80,GW,1553469592,100,11.28,-15.83,77.07,14.67
33,Tasiilaq,92,GL,1553467800,73,65.61,-37.64,23.0,36.91
34,Nikel,75,NO,1553467800,86,69.41,30.21,30.2,23.04
35,Ribeira Grande,44,PT,1553469593,100,38.52,-28.7,58.8,2.15
36,Bredasdorp,80,ZA,1553469364,88,-34.53,20.04,62.6,3.36
37,Kutum,8,SD,1553469541,22,14.2,24.66,68.43,11.1
38,Hasaki,40,JP,1553468592,65,35.73,140.83,45.0,10.29
39,Bambous Virieux,75,MU,1553469538,78,-20.34,57.76,82.4,11.41
40,Zholymbet,68,KZ,1553469593,98,51.74,71.71,26.22,4.72
41,Yumen,0,CN,1553469593,49,40.29,97.04,29.1,8.41
42,Cochrane,0,CL,1553469594,76,-47.25,-72.57,41.88,2.26
43,Port Hardy,20,CA,1553464800,70,50.7,-127.42,48.2,4.7
44,Maceio,20,BR,1553468400,78,-9.67,-35.74,80.6,5.82
45,Guane,68,CU,1553469594,92,22.2,-84.09,72.57,4.05
46,Butaritari,76,KI,1553469594,100,3.07,172.79,83.1,8.75
47,Yellowknife,75,CA,1553469323,53,62.45,-114.38,28.99,20.8
48,Thompson,20,CA,1553464800,29,55.74,-97.86,23.0,9.17
49,Biak,68,ID,1553469595,97,-0.91,122.88,79.41,2.48
50,Komsomolskiy,92,RU,1553469595,94,67.55,63.78,30.9,15.68
51,Chokurdakh,20,RU,1553469595,82,70.62,147.9,-5.11,4.83
52,Pacific Grove,1,US,1553469498,48,36.62,-121.92,66.99,10.29
53,Rio Gallegos,75,AR,1553464800,59,-51.62,-69.22,60.8,10.29
54,Avarua,88,CK,1553466600,83,-21.21,-159.78,84.2,6.93
55,Vaini,0,IN,1553469596,88,15.34,74.49,67.08,1.7
56,Busselton,0,AU,1553469505,48,-33.64,115.35,51.01,18.25
57,Washougal,1,US,1553469590,38,45.58,-122.35,63.0,5.82
58,Provideniya,90,RU,1553466600,97,64.42,-173.23,32.0,13.42
59,Antofagasta,20,CL,1553468400,72,-23.65,-70.4,66.2,11.41
60,Alta Floresta,32,BR,1553469597,95,-9.87,-56.08,75.9,1.7
61,Marawi,88,PH,1553469477,86,8.0,124.29,70.77,2.59
62,Catazaja,5,MX,1553467860,36,17.73,-92.02,91.4,11.41
63,Dali,0,CN,1553469598,100,25.6,100.24,40.53,1.92
64,Hilo,90,US,1553469558,88,19.71,-155.08,73.99,4.7
65,Esperance,20,TT,1553469369,65,10.24,-61.45,82.4,13.87
66,Guerrero Negro,12,MX,1553469598,50,27.97,-114.04,69.15,13.11
67,Caravelas,80,BR,1553469506,100,-17.73,-39.27,82.47,13.67
68,Necochea,68,AR,1553469390,78,-38.55,-58.74,57.99,8.99
69,Carutapera,88,BR,1553469599,92,-1.2,-46.02,78.33,5.73
70,Moosomin,0,CA,1553469599,84,50.14,-101.67,23.07,4.16
71,Saint George,0,GR,1553464200,81,39.45,22.34,46.4,2.26
72,Chabahar,0,IR,1553469600,99,25.29,60.65,71.13,5.95
73,Puerto Ayora,20,EC,1553469363,74,-0.74,-90.35,82.4,8.05
74,Bluff,12,AU,1553469600,62,-23.58,149.07,83.1,5.73
75,Alofi,24,NU,1553464800,54,-19.06,-169.92,84.2,17.22
76,Inhambane,20,MZ,1553469600,100,-23.87,35.38,72.48,5.95
77,Longyearbyen,40,NO,1553467800,72,78.22,15.63,12.2,11.41
78,Arraial do Cabo,24,BR,1553469482,90,-22.97,-42.02,79.05,9.98
79,Chakrata,76,IN,1553469601,72,30.7,77.87,52.59,2.04
80,Pangnirtung,76,CA,1553469524,70,66.15,-65.72,15.6,30.89
81,Ust-Tsilma,92,RU,1553469601,83,65.44,52.15,33.51,7.74
82,Mitu,80,IR,1553469396,93,36.2,46.09,40.71,4.38
83,Grindavik,0,IS,1553469282,100,63.84,-22.43,34.0,12.75
84,Tomakomai,20,JP,1553468418,64,42.65,141.6,36.0,16.11
85,Aswan,0,EG,1553464800,26,24.09,32.9,69.8,13.87
86,Taikang,0,CN,1553469481,41,46.86,124.44,36.57,17.13
87,Lebu,20,ET,1553464800,34,8.96,38.73,66.2,6.93
88,Husavik,0,CA,1553469356,40,50.56,-96.99,30.99,5.01
89,Kulhudhuffushi,0,MV,1553469556,100,6.62,73.07,83.91,10.2
90,Nikolskoye,0,RU,1553469388,74,59.7,30.79,34.0,6.71
91,Ulcinj,0,ME,1553468400,53,41.93,19.22,51.8,3.36
92,Golden,75,CA,1553469406,35,51.3,-116.96,57.2,8.05
93,Castro,0,CL,1553468400,76,-42.48,-73.76,53.6,5.82
94,Dicabisagan,0,PH,1553469604,91,17.08,122.42,77.7,2.04
95,Matay,0,EG,1553469538,48,28.42,30.79,57.9,12.66
96,East London,44,ZA,1553469476,100,-33.02,27.91,72.66,17.81
97,Sumbe,100,AO,1553469306,100,-11.2,13.84,80.4,5.84
98,Blanquefort,0,FR,1553469490,62,44.91,-0.64,51.8,9.17
99,Takab,92,IR,1553469605,99,36.4,47.11,35.31,3.38
100,Codrington,56,AU,1553469446,55,-28.95,153.24,87.01,10.29
101,New Norfolk,20,AU,1553469395,72,-42.78,147.06,59.0,25.28
102,Coquimbo,75,CL,1553468400,87,-29.95,-71.34,57.2,5.82
103,Hargeysa,0,SO,1553469606,56,9.56,44.06,64.47,10.2
104,Shingu,20,JP,1553469607,100,33.72,135.99,55.38,5.39
105,Batticaloa,0,LK,1553469607,100,7.71,81.69,73.11,3.71
106,Jacareacanga,44,BR,1553469333,87,-6.22,-57.76,78.87,1.7
107,Fortuna,0,ES,1553469603,62,38.18,-1.13,55.0,2.24
108,Eureka,1,US,1553469603,100,40.8,-124.16,64.0,8.05
109,Egvekinot,64,RU,1553469532,81,66.32,-179.17,6.51,4.61
